Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      2.69     0.00                             quit(int)
  0.00      2.69     0.00                             show(int)
  0.00      2.69     0.00                             show()
  0.00      2.69     0.00                             isDir(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             toInt(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             mkpath(char const*, unsigned int)
  0.00      2.69     0.00                             random(unsigned int)
  0.00      2.69     0.00                             add_guy(guy*)
  0.00      2.69     0.00                             add_guy(int)
  0.00      2.69     0.00                             cleanup()
  0.00      2.69     0.00                             collide(short, short, short, short, short, short, short, short)
  0.00      2.69     0.00                             do_load(int)
  0.00      2.69     0.00                             do_save(int)
  0.00      2.69     0.00                             explode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char)
  0.00      2.69     0.00                             go_menu(int)
  0.00      2.69     0.00                             io_exit()
  0.00      2.69     0.00                             io_init(int, char**)
  0.00      2.69     0.00                             draw_gem(short, short, short, screen*)
  0.00      2.69     0.00                             edit_guy(int)
  0.00      2.69     0.00                             float_eq(float, float)
  0.00      2.69     0.00                             how_many(int)
  0.00      2.69     0.00                             mainmenu(int)
  0.00      2.69     0.00                             name_guy(int)
  0.00      2.69     0.00                             show_guy(int, guy*, short, short)
  0.00      2.69     0.00                             show_guy(int, int, short, short)
  0.00      2.69     0.00                             some_hit(int, int, walker*, LevelData*)
  0.00      2.69     0.00                             beginmenu(int)
  0.00      2.69     0.00                             copy_file(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             cycle_guy(int)
  0.00      2.69     0.00                             data_copy(PixieData const&)
  0.00      2.69     0.00                             glad_main(int)
